country,year,coal_electricity
Bangladesh,2010,0.73
Bangladesh,2011,0.81
Bangladesh,2012,1.01
Bangladesh,2013,1.14
Bangladesh,2014,1.08
Bangladesh,2015,0.95
Bangladesh,2016,1.01
Bangladesh,2017,1.41
Bangladesh,2018,1.48
Bangladesh,2019,2.17
Bangladesh,2020,3.71
Bangladesh,2021,4.77
Bangladesh,2022,7.41
Belarus,2000,0.0
Belarus,2001,0.0
Belarus,2002,0.0
Belarus,2003,0.0
Belarus,2004,0.0
Belarus,2005,0.0
Belarus,2006,0.0
Belarus,2007,0.01
Belarus,2008,0.01
Belarus,2009,0.01
Belarus,2010,0.03
Belarus,2011,0.02
Belarus,2012,0.02
Belarus,2013,0.02
Belarus,2014,0.02
Belarus,2015,0.04
Belarus,2016,0.03
Belarus,2017,0.03
Belarus,2018,0.02
Belarus,2019,0.03
Belarus,2020,0.03
Belarus,2021,0.03
Belgium,1990,17.09
Belgium,1991,16.51
Belgium,1992,16.01
Belgium,1993,16.3
Belgium,1994,16.98
Belgium,1995,16.52
Belgium,1996,15.55
Belgium,1997,13.75
Belgium,1998,14.19
Belgium,1999,9.94
Belgium,2000,12.92
Belgium,2001,9.94
Belgium,2002,10.03
Belgium,2003,9.64
Belgium,2004,9.15
Belgium,2005,8.2
Belgium,2006,6.85
Belgium,2007,6.47
Belgium,2008,5.55
Belgium,2009,5.18
Belgium,2010,4.2
Belgium,2011,3.48
Belgium,2012,3.39
Belgium,2013,3.01
Belgium,2014,2.09
Belgium,2015,2.07
Belgium,2016,0.39
Belgium,2017,0.09
Belgium,2018,0.09
Belgium,2019,0.09
Belgium,2020,0.08
Belgium,2021,0.04
Belgium,2022,0.04
Bosnia and Herzegovina,2000,5.29
Bosnia and Herzegovina,2001,5.36
Bosnia and Herzegovina,2002,5.38
Bosnia and Herzegovina,2003,6.63
Bosnia and Herzegovina,2004,6.62
Bosnia and Herzegovina,2005,6.46
Bosnia and Herzegovina,2006,7.29
Bosnia and Herzegovina,2007,7.63
Bosnia and Herzegovina,2008,9.8
Bosnia and Herzegovina,2009,9.15
Bosnia and Herzegovina,2010,8.8
Bosnia and Herzegovina,2011,10.59
Bosnia and Herzegovina,2012,9.58
Bosnia and Herzegovina,2013,9.93
Bosnia and Herzegovina,2014,11.01
Bosnia and Herzegovina,2015,10.8
Bosnia and Herzegovina,2016,12.02
Bosnia and Herzegovina,2017,12.34
Bosnia and Herzegovina,2018,12.44
Bosnia and Herzegovina,2019,10.96
Bosnia and Herzegovina,2020,11.85
Bosnia and Herzegovina,2021,11.2
Bosnia and Herzegovina,2022,10.98
Botswana,2000,0.89
Botswana,2001,0.95
Botswana,2002,0.84
Botswana,2003,0.68
Botswana,2004,0.74
Botswana,2005,0.81
Botswana,2006,0.75
Botswana,2007,0.58
Botswana,2008,0.55
Botswana,2009,0.27
Botswana,2010,0.33
Botswana,2011,0.2
Botswana,2012,0.15
Botswana,2013,0.63
Botswana,2014,1.78
Botswana,2015,2.29
Botswana,2016,2.07
Botswana,2017,2.33
Botswana,2018,2.43
Botswana,2019,2.5
Botswana,2020,1.68
Botswana,2021,1.79
Brazil,1985,4.945
Brazil,1986,6.184
Brazil,1987,5.41
Brazil,1988,4.715
Brazil,1989,5.449
Brazil,1990,4.621
Brazil,1991,5.534
Brazil,1992,5.007
Brazil,1993,4.909
Brazil,1994,4.971
Brazil,1995,5.442
Brazil,1996,6.026
Brazil,1997,7.31
Brazil,1998,6.974
Brazil,1999,9.715
Brazil,2000,10.31
Brazil,2001,10.43
Brazil,2002,8.61
Brazil,2003,8.52
Brazil,2004,9.79
Brazil,2005,10.04
Brazil,2006,9.86
Brazil,2007,9.47
Brazil,2008,11.4
Brazil,2009,9.5
Brazil,2010,10.79
Brazil,2011,12.08
Brazil,2012,13.91
Brazil,2013,21.06
Brazil,2014,25.8
Brazil,2015,25.72
Brazil,2016,24.58
Brazil,2017,21.85
Brazil,2018,19.94
Brazil,2019,19.87
Brazil,2020,16.23
Brazil,2021,25.17
Brazil,2022,15.6
Bulgaria,1990,20.98
Bulgaria,1991,20.78
Bulgaria,1992,17.81
Bulgaria,1993,17.16
Bulgaria,1994,16.89
Bulgaria,1995,17.33
Bulgaria,1996,17.16
Bulgaria,1997,18.89
Bulgaria,1998,18.3
Bulgaria,1999,16.27
Bulgaria,2000,16.94
Bulgaria,2001,19.5
Bulgaria,2002,17.18
Bulgaria,2003,19.24
Bulgaria,2004,18.9
Bulgaria,2005,18.46
Bulgaria,2006,19.09
Bulgaria,2007,22.37
Bulgaria,2008,23.18
Bulgaria,2009,21.1
Bulgaria,2010,22.61
Bulgaria,2011,27.53
Bulgaria,2012,22.87
Bulgaria,2013,19.39
Bulgaria,2014,21.31
Bulgaria,2015,22.53
Bulgaria,2016,19.37
Bulgaria,2017,20.92
Bulgaria,2018,18.66
Bulgaria,2019,17.2
Bulgaria,2020,13.51
Bulgaria,2021,17.09
Bulgaria,2022,21.39
Cambodia,2000,0.0
Cambodia,2001,0.0
Cambodia,2002,0.0
Cambodia,2003,0.0
Cambodia,2004,0.0
Cambodia,2005,0.0
Cambodia,2006,0.0
Cambodia,2007,0.0
Cambodia,2008,0.0
Cambodia,2009,0.0
Cambodia,2010,0.0
Cambodia,2011,0.0
Cambodia,2012,0.0
Cambodia,2013,0.0
Cambodia,2014,0.77
Cambodia,2015,1.73
Cambodia,2016,2.16
Cambodia,2017,3.2
Cambodia,2018,2.56
Cambodia,2019,3.41
Cambodia,2020,3.42
Cambodia,2021,3.68
Canada,1985,79.445
Canada,1986,71.627
Canada,1987,84.238
Canada,1988,91.758
Canada,1989,91.737
Canada,1990,82.22
Canada,1991,88.485
Canada,1992,90.03
Canada,1993,82.384
Canada,1994,86.651
Canada,1995,91.604
Canada,1996,89.621
Canada,1997,96.926
Canada,1998,105.994
Canada,1999,106.186
Canada,2000,109.27
Canada,2001,105.1
Canada,2002,104.12
Canada,2003,102.9
Canada,2004,93.25
Canada,2005,99.24
Canada,2006,91.36
Canada,2007,98.43
Canada,2008,94.8
Canada,2009,78.64
Canada,2010,76.99
Canada,2011,70.71
Canada,2012,62.1
Canada,2013,63.17
Canada,2014,61.36
Canada,2015,59.27
Canada,2016,58.81
Canada,2017,55.78
Canada,2018,46.84
Canada,2019,44.01
Canada,2020,34.46
Canada,2021,32.86
Canada,2022,36.79
Chile,2000,8.92
Chile,2001,5.74
Chile,2002,6.42
Chile,2003,6.14
Chile,2004,8.9
Chile,2005,8.45
Chile,2006,11.61
Chile,2007,14.23
Chile,2008,14.79
Chile,2009,15.26
Chile,2010,17.5
Chile,2011,21.19
Chile,2012,26.34
Chile,2013,31.05
Chile,2014,28.36
Chile,2015,28.1
Chile,2016,31.95
Chile,2017,29.39
Chile,2018,29.31
Chile,2019,28.4
Chile,2020,27.01
Chile,2021,27.67
Chile,2022,19.16
China,1985,260.645
China,1986,299.61
China,1987,339.862
China,1988,373.653
China,1989,405.06
China,1990,441.251
China,1991,498.434
China,1992,567.33
China,1993,589.228
China,1994,693.408
China,1995,741.886
China,1996,824.184
China,1997,867.026
China,1998,891.674
China,1999,969.684
China,2000,1060.26
China,2001,1129.14
China,2002,1282.57
China,2003,1519.97
China,2004,1722.42
China,2005,1980.15
China,2006,2302.42
China,2007,2656.7
China,2008,2708.91
China,2009,2911.52
China,2010,3233.6
China,2011,3690.87
China,2012,3748.19
China,2013,4077.37
China,2014,4203.06
China,2015,4046.17
China,2016,4156.35
China,2017,4430.03
China,2018,4763.92
China,2019,4855.19
China,2020,4921.96
China,2021,5328.83
China,2022,5397.8
Colombia,2000,2.46
Colombia,2001,2.66
Colombia,2002,2.61
Colombia,2003,3.06
Colombia,2004,2.32
Colombia,2005,2.63
Colombia,2006,1.89
Colombia,2007,2.21
Colombia,2008,1.89
Colombia,2009,3.34
Colombia,2010,3.55
Colombia,2011,1.5
Colombia,2012,2.52
Colombia,2013,5.6
Colombia,2014,5.36
Colombia,2015,6.98
Colombia,2016,6.62
Colombia,2017,3.08
Colombia,2018,4.31
Colombia,2019,8.14
Colombia,2020,9.72
Colombia,2021,5.07
Colombia,2022,4.29
Croatia,1990,0.63
Croatia,1991,0.39
Croatia,1992,0.66
Croatia,1993,0.45
Croatia,1994,0.1
Croatia,1995,0.24
Croatia,1996,0.12
Croatia,1997,0.51
Croatia,1998,0.54
Croatia,1999,0.52
Croatia,2000,1.55
Croatia,2001,1.64
Croatia,2002,2.11
Croatia,2003,2.4
Croatia,2004,2.14
Croatia,2005,2.33
Croatia,2006,2.25
Croatia,2007,2.42
Croatia,2008,2.49
Croatia,2009,1.65
Croatia,2010,2.38
Croatia,2011,2.58
Croatia,2012,2.24
Croatia,2013,2.42
Croatia,2014,2.37
Croatia,2015,2.31
Croatia,2016,2.6
Croatia,2017,1.37
Croatia,2018,1.45
Croatia,2019,1.64
Croatia,2020,1.22
Croatia,2021,1.46
Croatia,2022,1.54
Czechia,1990,47.02
Czechia,1991,45.6
Czechia,1992,43.91
Czechia,1993,43.27
Czechia,1994,42.24
Czechia,1995,44.34
Czechia,1996,45.43
Czechia,1997,45.73
Czechia,1998,45.31
Czechia,1999,44.15
Czechia,2000,52.75
Czechia,2001,52.59
Czechia,2002,49.91
Czechia,2003,50.77
Czechia,2004,50.31
Czechia,2005,49.52
Czechia,2006,49.65
Czechia,2007,53.79
Czechia,2008,48.77
Czechia,2009,45.94
Czechia,2010,46.9
Czechia,2011,46.68
Czechia,2012,43.98
Czechia,2013,41.12
Czechia,2014,40.73
Czechia,2015,41.14
Czechia,2016,41.97
Czechia,2017,41.44
Czechia,2018,41.2
Czechia,2019,37.33
Czechia,2020,31.0
Czechia,2021,34.18
Czechia,2022,36.94
Denmark,1990,23.56
Denmark,1991,33.44
Denmark,1992,26.96
Denmark,1993,29.33
Denmark,1994,33.29
Denmark,1995,27.36
Denmark,1996,39.67
Denmark,1997,28.76
Denmark,1998,23.65
Denmark,1999,20.08
Denmark,2000,16.67
Denmark,2001,17.82
Denmark,2002,18.26
Denmark,2003,25.31
Denmark,2004,18.67
Denmark,2005,15.46
Denmark,2006,24.57
Denmark,2007,19.89
Denmark,2008,17.46
Denmark,2009,17.69
Denmark,2010,17.01
Denmark,2011,13.98
Denmark,2012,10.54
Denmark,2013,14.29
Denmark,2014,11.06
Denmark,2015,7.11
Denmark,2016,8.87
Denmark,2017,6.21
Denmark,2018,6.57
Denmark,2019,3.31
Denmark,2020,3.06
Denmark,2021,4.37
Denmark,2022,3.62
Dominican Republic,2000,0.38
Dominican Republic,2001,0.51
Dominican Republic,2002,0.64
Dominican Republic,2003,0.66
Dominican Republic,2004,0.63
Dominican Republic,2005,0.67
Dominican Republic,2006,0.82
Dominican Republic,2007,0.95
Dominican Republic,2008,0.82
Dominican Republic,2009,0.83
Dominican Republic,2010,1.05
Dominican Republic,2011,1.1
Dominican Republic,2012,1.06
Dominican Republic,2013,1.18
Dominican Republic,2014,1.21
Dominican Republic,2015,1.34
Dominican Republic,2016,1.57
Dominican Republic,2017,1.55
Dominican Republic,2018,1.62
Dominican Republic,2019,3.5
Dominican Republic,2020,3.29
Dominican Republic,2021,3.49
Estonia,1990,0.0
Estonia,1991,0.0
Estonia,1992,0.0
Estonia,1993,0.0
Estonia,1994,0.0
Estonia,1995,0.0
Estonia,1996,0.0
Estonia,1997,0.0
Estonia,1998,0.0
Estonia,1999,0.0
Estonia,2000,0.0
Estonia,2001,0.0
Estonia,2002,0.0
Estonia,2003,0.0
Estonia,2004,0.0
Estonia,2005,0.0
Estonia,2006,0.0
Estonia,2007,0.0
Estonia,2008,0.0
Estonia,2009,0.0
Estonia,2010,0.0
Estonia,2011,0.0
Estonia,2012,0.0
Estonia,2013,0.01
Estonia,2014,0.01
Estonia,2015,0.0
Estonia,2016,0.0
Estonia,2017,0.02
Estonia,2018,0.0
Estonia,2019,0.0
Estonia,2020,0.0
Estonia,2021,0.0
Estonia,2022,0.0
Finland,1990,9.66
Finland,1991,9.79
Finland,1992,7.66
Finland,1993,9.84
Finland,1994,13.98
Finland,1995,11.07
Finland,1996,15.12
Finland,1997,12.84
Finland,1998,7.94
Finland,1999,8.95
Finland,2000,8.49
Finland,2001,10.61
Finland,2002,12.71
Finland,2003,19.25
Finland,2004,16.5
Finland,2005,6.5
Finland,2006,16.33
Finland,2007,13.89
Finland,2008,8.5
Finland,2009,11.13
Finland,2010,14.54
Finland,2011,9.78
Finland,2012,7.1
Finland,2013,10.69
Finland,2014,7.92
Finland,2015,5.12
Finland,2016,6.97
Finland,2017,5.86
Finland,2018,5.79
Finland,2019,4.36
Finland,2020,2.44
Finland,2021,2.67
Finland,2022,2.98
France,1985,41.443
France,1986,31.147
France,1987,27.499
France,1988,25.049
France,1989,32.41
France,1990,31.47
France,1991,39.61
France,1992,34.23
France,1993,20.96
France,1994,20.9
France,1995,24.18
France,1996,28.04
France,1997,22.18
France,1998,33.53
France,1999,29.28
France,2000,27.0
France,2001,20.48
France,2002,23.66
France,2003,26.26
France,2004,24.37
France,2005,27.51
France,2006,22.89
France,2007,24.45
France,2008,23.06
France,2009,21.67
France,2010,23.36
France,2011,17.39
France,2012,21.46
France,2013,23.84
France,2014,11.26
France,2015,11.89
France,2016,10.23
France,2017,12.81
France,2018,8.31
France,2019,3.64
France,2020,3.09
France,2021,5.44
France,2022,4.41
Germany,1985,312.88
Germany,1986,315.312
Germany,1987,308.479
Germany,1988,310.385
Germany,1989,313.104
Germany,1990,310.04
Germany,1991,307.67
Germany,1992,295.67
Germany,1993,293.25
Germany,1994,290.29
Germany,1995,289.14
Germany,1996,295.99
Germany,1997,284.34
Germany,1998,292.26
Germany,1999,281.27
Germany,2000,296.68
Germany,2001,293.74
Germany,2002,299.6
Germany,2003,304.63
Germany,2004,298.77
Germany,2005,288.14
Germany,2006,288.93
Germany,2007,297.1
Germany,2008,275.21
Germany,2009,253.45
Germany,2010,262.89
Germany,2011,262.46
Germany,2012,276.23
Germany,2013,288.2
Germany,2014,274.41
Germany,2015,272.2
Germany,2016,261.75
Germany,2017,241.26
Germany,2018,228.16
Germany,2019,171.45
Germany,2020,134.6
Germany,2021,164.5
Germany,2022,178.94
Greece,1990,25.17
Greece,1991,23.7
Greece,1992,26.61
Greece,1993,27.79
Greece,1994,29.58
Greece,1995,28.7
Greece,1996,29.3
Greece,1997,30.63
Greece,1998,32.45
Greece,1999,32.38
Greece,2000,34.31
Greece,2001,35.43
Greece,2002,34.57
Greece,2003,35.17
Greece,2004,35.38
Greece,2005,35.54
Greece,2006,32.26
Greece,2007,34.68
Greece,2008,33.36
Greece,2009,34.19
Greece,2010,30.8
Greece,2011,31.07
Greece,2012,31.11
Greece,2013,26.4
Greece,2014,25.75
Greece,2015,22.11
Greece,2016,18.88
Greece,2017,18.76
Greece,2018,17.19
Greece,2019,12.12
Greece,2020,6.61
Greece,2021,5.32
Greece,2022,5.48
Guadeloupe,2000,0.21
Guadeloupe,2001,0.2
Guadeloupe,2002,0.2
Guadeloupe,2003,0.2
Guadeloupe,2004,0.24
Guadeloupe,2005,0.24
Guadeloupe,2006,0.25
Guadeloupe,2007,0.26
Guadeloupe,2008,0.26
Guadeloupe,2009,0.26
Guadeloupe,2010,0.26
Guadeloupe,2011,0.37
Guatemala,2000,0.77
Guatemala,2001,1.03
Guatemala,2002,0.85
Guatemala,2003,1.13
Guatemala,2004,1.22
Guatemala,2005,1.43
Guatemala,2006,1.21
Guatemala,2007,1.19
Guatemala,2008,1.08
Guatemala,2009,0.69
Guatemala,2010,0.96
Guatemala,2011,1.06
Guatemala,2012,1.23
Guatemala,2013,1.57
Guatemala,2014,1.9
Guatemala,2015,2.93
Guatemala,2016,2.84
Guatemala,2017,3.33
Guatemala,2018,4.03
Guatemala,2019,3.84
Guatemala,2020,2.39
Guatemala,2021,3.65
Honduras,2000,0.0
Honduras,2001,0.0
Honduras,2002,0.0
Honduras,2003,0.0
Honduras,2004,0.0
Honduras,2005,0.0
Honduras,2006,0.0
Honduras,2007,0.0
Honduras,2008,0.0
Honduras,2009,0.0
Honduras,2010,0.0
Honduras,2011,0.0
Honduras,2012,0.0
Honduras,2013,0.0
Honduras,2014,0.0
Honduras,2015,0.38
Honduras,2016,0.33
Honduras,2017,0.28
Honduras,2018,0.36
Honduras,2019,0.5
Honduras,2020,0.51
Honduras,2021,0.54
Hong Kong,2000,17.44
Hong Kong,2001,18.71
Hong Kong,2002,20.96
Hong Kong,2003,26.16
Hong Kong,2004,23.97
Hong Kong,2005,26.4
Hong Kong,2006,23.0
Hong Kong,2007,29.12
Hong Kong,2008,28.35
Hong Kong,2009,28.7
Hong Kong,2010,25.59
Hong Kong,2011,29.09
Hong Kong,2012,28.91
Hong Kong,2013,29.47
Hong Kong,2014,28.55
Hong Kong,2015,24.27
Hong Kong,2016,22.93
Hong Kong,2017,21.59
Hong Kong,2018,21.66
Hong Kong,2019,21.31
Hong Kong,2020,11.43
Hong Kong,2021,12.86
Hungary,1990,8.55
Hungary,1991,8.04
Hungary,1992,9.11
Hungary,1993,9.02
Hungary,1994,8.73
Hungary,1995,9.08
Hungary,1996,9.61
Hungary,1997,9.39
Hungary,1998,9.56
Hungary,1999,10.18
Hungary,2000,9.59
Hungary,2001,8.84
Hungary,2002,8.98
Hungary,2003,9.17
Hungary,2004,8.18
Hungary,2005,7.02
Hungary,2006,7.0
Hungary,2007,7.37
Hungary,2008,7.08
Hungary,2009,6.34
Hungary,2010,6.23
Hungary,2011,6.48
Hungary,2012,6.34
Hungary,2013,6.3
Hungary,2014,5.99
Hungary,2015,5.79
Hungary,2016,5.63
Hungary,2017,4.93
Hungary,2018,4.67
Hungary,2019,4.03
Hungary,2020,3.71
Hungary,2021,3.01
Hungary,2022,2.9
India,1985,116.039
India,1986,129.902
India,1987,152.8
India,1988,164.676
India,1989,184.975
India,1990,191.633
India,1991,214.118
India,1992,229.412
India,1993,252.784
India,1994,264.609
India,1995,296.292
India,1996,312.234
India,1997,325.827
India,1998,336.484
India,1999,365.436
India,2000,390.23
India,2001,408.29
India,2002,426.7
India,2003,441.47
India,2004,463.01
India,2005,478.48
India,2006,505.46
India,2007,533.27
India,2008,573.12
India,2009,611.11
India,2010,642.97
India,2011,701.25
India,2012,787.13
India,2013,847.97
India,2014,949.93
India,2015,1006.55
India,2016,1073.6
India,2017,1115.24
India,2018,1198.86
India,2019,1198.76
India,2020,1143.78
India,2021,1274.13
India,2022,1380.1
Indonesia,1985,5.212
Indonesia,1986,5.349
Indonesia,1987,6.183
Indonesia,1988,7.576
Indonesia,1989,8.509
Indonesia,1990,9.768
Indonesia,1991,11.046
Indonesia,1992,11.362
Indonesia,1993,10.681
Indonesia,1994,12.805
Indonesia,1995,14.367
Indonesia,1996,16.671
Indonesia,1997,20.473
Indonesia,1998,22.437
Indonesia,1999,26.335
Indonesia,2000,34.0
Indonesia,2001,37.71
Indonesia,2002,42.93
Indonesia,2003,46.46
Indonesia,2004,48.21
Indonesia,2005,51.83
Indonesia,2006,58.67
Indonesia,2007,63.9
Indonesia,2008,61.49
Indonesia,2009,65.91
Indonesia,2010,68.48
Indonesia,2011,81.09
Indonesia,2012,102.17
Indonesia,2013,111.25
Indonesia,2014,119.53
Indonesia,2015,124.66
Indonesia,2016,135.38
Indonesia,2017,147.96
Indonesia,2018,160.01
Indonesia,2019,174.49
Indonesia,2020,180.87
Indonesia,2021,189.96
Indonesia,2022,205.31
Iran,1985,0.088
Iran,1986,0.087
Iran,1987,0.085
Iran,1988,0.088
Iran,1989,0.064
Iran,1990,0.065
Iran,1991,0.094
Iran,1992,0.083
Iran,1993,0.096
Iran,1994,0.095
Iran,1995,0.091
Iran,1996,0.092
Iran,1997,0.096
Iran,1998,0.112
Iran,1999,0.417
Iran,2000,0.48
Iran,2001,0.47
Iran,2002,0.52
Iran,2003,0.47
Iran,2004,0.48
Iran,2005,0.57
Iran,2006,0.56
Iran,2007,0.57
Iran,2008,0.39
Iran,2009,0.38
Iran,2010,0.35
Iran,2011,0.43
Iran,2012,0.4
Iran,2013,0.46
Iran,2014,0.53
Iran,2015,0.46
Iran,2016,0.49
Iran,2017,0.69
Iran,2018,0.69
Iran,2019,0.74
Iran,2020,0.75
Iran,2021,0.75
Iran,2022,0.75
Ireland,1990,5.92
Ireland,1991,5.85
Ireland,1992,6.66
Ireland,1993,6.62
Ireland,1994,6.68
Ireland,1995,7.02
Ireland,1996,6.99
Ireland,1997,6.79
Ireland,1998,6.74
Ireland,1999,5.83
Ireland,2000,6.82
Ireland,2001,7.06
Ireland,2002,6.82
Ireland,2003,6.2
Ireland,2004,6.23
Ireland,2005,6.39
Ireland,2006,5.88
Ireland,2007,5.44
Ireland,2008,5.14
Ireland,2009,4.0
Ireland,2010,3.55
Ireland,2011,3.94
Ireland,2012,5.02
Ireland,2013,4.28
Ireland,2014,3.96
Ireland,2015,4.87
Ireland,2016,4.7
Ireland,2017,3.64
Ireland,2018,2.15
Ireland,2019,0.51
Ireland,2020,0.67
Ireland,2021,2.72
Ireland,2022,2.47
Israel,2000,27.47
Israel,2001,30.95
Israel,2002,33.0
Israel,2003,33.92
Israel,2004,34.3
Israel,2005,33.99
Israel,2006,33.57
Israel,2007,35.04
Israel,2008,33.23
Israel,2009,34.37
Israel,2010,34.26
Israel,2011,35.17
Israel,2012,38.72
Israel,2013,32.08
Israel,2014,29.87
Israel,2015,29.16
Israel,2016,24.08
Israel,2017,22.0
Israel,2018,20.53
Israel,2019,21.8
Israel,2020,18.9
Israel,2021,16.91
Italy,1985,30.023
Italy,1986,31.004
Italy,1987,33.035
Italy,1988,33.897
Italy,1989,31.867
Italy,1990,32.05
Italy,1991,28.5
Italy,1992,21.36
Italy,1993,16.66
Italy,1994,19.86
Italy,1995,24.12
Italy,1996,22.08
Italy,1997,20.51
Italy,1998,23.31
Italy,1999,23.81
Italy,2000,26.28
Italy,2001,31.73
Italy,2002,35.45
Italy,2003,38.81
Italy,2004,45.52
Italy,2005,43.61
Italy,2006,44.21
Italy,2007,44.11
Italy,2008,43.07
Italy,2009,39.74
Italy,2010,39.73
Italy,2011,44.73
Italy,2012,49.14
Italy,2013,45.1
Italy,2014,43.45
Italy,2015,43.2
Italy,2016,35.61
Italy,2017,32.63
Italy,2018,28.47
Italy,2019,18.84
Italy,2020,13.38
Italy,2021,14.02
Italy,2022,21.72
Japan,1985,99.334
Japan,1986,98.774
Japan,1987,107.333
Japan,1988,112.198
Japan,1989,116.866
Japan,1990,119.284
Japan,1991,125.572
Japan,1992,131.975
Japan,1993,140.23
Japan,1994,156.847
Japan,1995,168.601
Japan,1996,178.444
Japan,1997,188.135
Japan,1998,192.232
Japan,1999,211.613
Japan,2000,238.24
Japan,2001,253.91
Japan,2002,264.43
Japan,2003,292.06
Japan,2004,295.39
Japan,2005,319.2
Japan,2006,311.34
Japan,2007,317.31
Japan,2008,333.7
Japan,2009,312.08
Japan,2010,316.85
Japan,2011,285.07
Japan,2012,334.3
Japan,2013,362.55
Japan,2014,355.6
Japan,2015,349.64
Japan,2016,345.24
Japan,2017,342.88
Japan,2018,345.13
Japan,2019,338.2
Japan,2020,330.78
Japan,2021,338.6
Japan,2022,348.48
Kazakhstan,1985,59.068
Kazakhstan,1986,62.376
Kazakhstan,1987,64.276
Kazakhstan,1988,63.241
Kazakhstan,1989,63.892
Kazakhstan,1990,62.144
Kazakhstan,1991,62.111
Kazakhstan,1992,59.803
Kazakhstan,1993,55.32
Kazakhstan,1994,47.104
Kazakhstan,1995,48.019
Kazakhstan,1996,42.321
Kazakhstan,1997,37.206
Kazakhstan,1998,35.865
Kazakhstan,1999,34.055
Kazakhstan,2000,35.9
Kazakhstan,2001,39.08
Kazakhstan,2002,40.14
Kazakhstan,2003,45.83
Kazakhstan,2004,50.56
Kazakhstan,2005,50.17
Kazakhstan,2006,49.32
Kazakhstan,2007,56.25
Kazakhstan,2008,61.6
Kazakhstan,2009,58.11
Kazakhstan,2010,66.66
Kazakhstan,2011,70.22
Kazakhstan,2012,67.63
Kazakhstan,2013,69.0
Kazakhstan,2014,67.16
Kazakhstan,2015,63.35
Kazakhstan,2016,61.22
Kazakhstan,2017,68.94
Kazakhstan,2018,74.83
Kazakhstan,2019,73.82
